id,topic,from,to,contents,date,type,party,state,constituency,constituency_type
98,Air Pollution in Metropolitan Cities,"['Rathva, Smt. Gitaben Vajesingbhai', 'Naik Nimbalkar, Shri Ranjeetsingh', 'Adhikari, Shri Deepak (Dev)']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) whether the Government is aware that the problem of air pollution in metropolitan cities of the country has become worse, if so, the details of increasing pollution level in various metropolitan cities in the country especially in Delhi; (b) whether the Government is aware of the causes of air pollution, if so, the details thereof; (c) the problems being faced due to air pollution especially in Delhi; (d) the efforts made by the Government during the last three years to identify the causes and to reduce air pollution along with the details thereof; (e) the number of deaths due to air pollution during the last two years; and (f) whether it is a fact that India suffers loss of millions of dollars every year due to deteriorating public health due to air pollution and if so, the details thereof?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party', 'All India Trinamool Congress']","['Gujarat', 'Maharashtra', 'West Bengal']","['Chhota Udaipur', 'Madha', 'Ghatal']","['ST', '', '']"
99,Special Financial Package,"['Galla, Shri Jayadev']",FINANCE,"Will the Minister of FINANCE . be pleased to state: (a) whether the Government has released the special financial package of Rs.700 crore as requested by Andhra Pradesh; (b) if so, the share of this requested amount released to the State; (c) whether the entire amount has not been released and if so, the reasons therefor; (d) whether the Government follows up the release of funds by an inquiry as to the utilization of the same vis-a-vis the requested purpose; and (e) if so, the details thereof?",2021-11-29,UNSTARRED,['Telugu Desam Party'],['Andhra Pradesh'],['Guntur'],['']
100,Credit by RRBs,"['Gnanathiraviam, Shri S.']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the Government provides assistance to a number of small farmers belonging to SCs/STs extended credit by the Regional Rural Banks (RRBs) in the country during each of the last three years and the current year, if so, the details thereof; (b) whether the Government is aware that the farmers are facing a lot of difficulties in getting loans from RRBs; and (c) if so, the corrective measures taken/being taken by the Government to ensure flow of credit to the farmers?",2021-11-29,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Tirunelveli'],['']
101,Funds for Schools,"['Jagathrakshakan, Shri S.']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government agrees with the view that along with physical or infrastructural investments, schools must allocate dedicated resources and adopt to train the trainer approach to make the learning lasting; (b) if so, the measures taken by the Government in this regard; and (c) if not, the reasons therefor?",2021-11-29,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Arakkonam'],['']
102,Identification of cities to control air pollution,"['Reddy, Dr. Gaddam Ranjith']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) whether it is true that Patancheruvu in Telangana has been identified to control air pollution; 19 (b) the details of action plan prepared and status of implementation of the same; (c) the details of improvement in air quality after implementation of the action plan; and (d) whether any other city has been identified/ proposed to be identified to control air pollution in Telangana and if so, the details thereof?",2021-11-29,UNSTARRED,['Telangana Rashtra Samithi'],['Telangana'],['Chevella'],['']
103,National Mission on Cultural Mapping,"['Duggal, Smt. Sunita']",CULTURE,"Will the Minister of CULTURE be pleased to state: (a) whether the Government has undertaken a cultural mapping in Haryana State under the National Mission on Cultural Mapping; (b) the details of programs undertaken under the Cultural Mapping Mission; (c) the number of artists and institutions registered, State/UT-wise including Haryana under the mission till date and the benefits/assistance extended to the registered artists/institutions; and (d) the details of the cultures or villages that were mapped in Haryana State, especially in the districts of Sirsa and Fatehabad; and (e) whether the Government is proposing to expand the mission and if so, the details thereof?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Haryana'],['Sirsa'],['SC']
104,Collection of Excise Duty,"['Adhikari, Shri Deepak (Dev)']",FINANCE,Will the Minister of FINANCE be pleased to state: (a) the total collection of excise duty from fuel in last five years; and (b) the total amount of excise duty collected from Petrol and Diesel shared with States in these last five years?,2021-11-29,UNSTARRED,['All India Trinamool Congress'],['West Bengal'],['Ghatal'],['']
105,National Skill Training Institute (NSTI),"['Ram Mohan Naidu, Shri Kinjarapu']",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,"Will the Minister of SKILL DEVELOPMENT AND ENTREPRENEURSHIP be pleased to state: (a) the details of National Skill Training Institutes (NSTI) and NSTI(W) in the State of Andhra Pradesh (AP) and the number of people trained therein since 2017, Year-wise; (b) whether there are no such institutes in the State of Andhra Pradesh if so, the reasons therefor and whether . the Government intends to open such institutes in the State; (c) the state-wise number of individuals trained under PMKVY 2.0 and PMKVY 3.0 since the launch of these schemes; (d) the details of the number of individuals trained in AP under PMKVY since 2017, district-wise; (e) the details of the funds allocated, utilised for PMKVY since 2019-20; and (f) whether the Government has undertaken any special initiatives for the skill development of the tribal population in the State of Andhra Pradesh?",2021-11-29,UNSTARRED,['Telugu Desam Party'],['Andhra Pradesh'],['Srikakulam'],['']
106,Central Bank Digital Currency,"['Prakash, Adv. Adoor']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the Government has any proposal to introduce Central Bank Digital Currency in the country; (b) if so, the details thereof and the plan prepared for the same; (c) the purpose of introducing digital currency and whether any assessment has been done on the implications of the same; and (d) if so, the details thereof?",2021-11-29,UNSTARRED,['Indian National Congress'],['Kerala'],['Attingal'],['']
107,Schemes to Popularise Tourist Sites in Rajasthan,"['Kaswan, Shri Rahul']",TOURISM,"Will the Minister of TOURISM be pleased to state: (a) the schemes of the Government to popularize tourist attraction sites in Rajasthan; (b) whether any campaign has been started abroad to attract foreign tourists to the religious, old havelies and tourist attractions places of Rajasthan; (c) if so, the details thereof; and (d) the total foreign exchange earned from tourists visiting Rajasthan during the last two years?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Rajasthan'],['Churu'],['']
108,Plan to Expand Rural Tourism Circuits in Gujarat,"['Maadam, Smt. Poonamben Hematbhai']",TOURISM,"Will the Minister of TOURISM be pleased to state: (a) whether there is any programme/scheme to explore scope for developing rural tourism in the country; (b) if so, the details thereof. (c) the State-wise/Union Territory-wise number of districts and villages which have been identified and 20 developed as rural tourist spots during the last three years; (d) whether the Government is planning to expand rural tourism circuits in Gujarat; and (e) if so, the details thereof?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Gujarat'],['Jamnagar'],['']
109,Skill  Loan  Scheme,"['Baghel, Shri Vijay', 'Soni, Shri Sunil Kumar', 'Sao, Shri Arun']",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,"Will the Minister of SKILL DEVELOPMENT AND ENTREPRENEURSHIP be pleased to state: (a) whether the Skill Loan Scheme was launched in July 2015 and if so, the status thereof till date; (b) the total number of persons in the country, who have benefitted from this scheme; (c) the State-wise details thereof including Chattisgarh; and (d) the district-wise details of Chhattisgarh State including Lok Sabha Constituencies of Durg and Bilaspur?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party']","['Chhattisgarh', 'Chhattisgarh', 'Chhattisgarh']","['Durg', 'Raipur', 'Bilaspur']","['', '', '']"
110,Household Indebtedness,"['Singh, Shri Ravneet']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the Government is aware that as per a recent analysis, there has been a sharp rise in indebtedness among rural as well as urban households in the country; (b) if so, the details thereof during the last three years, year-wise and State/UT-wise along with reasons therefor; (c) whether the Government is taking any measures to reduce the rising debt in rural as well as urban households in the country; (d) if so, the details thereof; and (e) if not, the reasons therefor?",2021-11-29,UNSTARRED,['Indian National Congress'],['Punjab'],['Ludhiana'],['']
111,KVs/JNVs in Rajasthan,"['Beniwal, Shri Hanuman', 'Kaswan, Shri Rahul', 'Rajoria, Dr. Manoj', 'Joshi, Shri Chandra Prakash', 'Nath, Shri Balak']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: . (a) whether any proposal/ demand etc. is under consideration before the Government for the approval of new Kendriya Vidyalayas and Jawahar Navodaya Vidyalayas in various parts of the country, particularly Rajasthan including Sujangarh in Churu District, Khinvsar, Parbatsar, Merta and Didwana in Nagaur District of Rajasthan; (b) if so, the details thereof, State-wise along with the progress made in this regard; (c) whether any report of any committee has come to the Government for approval of said schools and if so, the details thereof along with copies of the report; (d) whether the Government proposes to open KVs in Hindaun city of District Karauli, Dholpur Parliamentary Consituency, which is pending with the KVS Sangathan Headquarters and if so, the details thereof; (e) the plan of the Government to approve the new KVs at said places and the details thereof; and (f) the number of teachers and students studying in KVs operating across the country, State-wise?",2021-11-29,UNSTARRED,"['Rashtriya Loktantrik Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party']","['Rajasthan', 'Rajasthan', 'Rajasthan', 'Rajasthan', 'Rajasthan']","['Nagaur', 'Churu', 'Karauli-Dholpur', 'Chittorgarh', 'Alwar']","['', '', 'SC', '', '']"
112,Impact of CORONA on Education,"['A. Raja, Shri']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government or any other agency has initiated survey to understand the impact of Covid-19 pandemic on the teaching, learning and assessment processes and the socio-economic conditions of the schools across the country; (b) if so, the details thereof; (c) the percentage of students having access to the internet and the details of modes of virtual learning schools used during the Pandemic period; (d) the percentage of attendance of students during the online classes, Sate-wise; and (e) whether the Government has received any suggestions to provide support in terms of training and resources for teachers and students in the schools alongwith the details thereof?",2021-11-29,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Nilgiris'],['SC']
113,PM Poshan Yojana,"['Kachhadiya, Shri Naranbhai Bhikhabhai', 'Patel, Shri Parbatbhai Savabhai']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Central Cabinet has approved to continue/ amend/ rectify the Centre sponsored National PM Nutrition Scheme in schools for the next five years; (b) the number of schools and students expected to benefit from the above scheme in the country; (c) the number of schools from Gujarat included in this scheme; 21 (d) the number of students likely to get benefit from this scheme; and (e) the details, thereof?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Gujarat', 'Gujarat']","['Amreli', 'Banaskantha']","['', '']"
